family criticizes abandoned mine .,tourist recommends interesting museum .,0
tourist criticizes disgusting cave .,student enjoys impressive train .,0
student enters disgusting cave .,family enjoys impressive route .,0
family criticizes disgusting mine .,family enjoys impressive train .,0
family visits impressive factory .,tourist visits interesting factory .,1
family criticizes boring train .,student enjoys impressive museum .,0
family recommends abandoned factory .,family criticizes abandoned factory .,0
tourist enters boring museum .,family recommends boring mine .,0
family criticizes impressive factory .,tourist criticizes abandoned landscape .,0
student enjoys impressive museum .,tourist enjoys interesting museum .,1
family visits open route .,family enjoys impressive cave .,1
student enters boring factory .,tourist enjoys interesting train .,0
family recommends abandoned train .,student enters abandoned mine .,0
student enjoys impressive train .,family criticizes abandoned factory .,0
family recommends open mine .,family criticizes abandoned mine .,0
family visits boring factory .,family criticizes abandoned train .,0
tourist enters disgusting factory .,family enjoys interesting factory .,0
tourist enters disgusting cave .,family visits boring factory .,0
family criticizes boring landscape .,student criticizes abandoned landscape .,1
tourist recommends interesting train .,tourist recommends impressive mine .,1
tourist enters boring cave .,student criticizes boring factory .,1
student enters disgusting train .,student enters abandoned cave .,1
student enjoys open mine .,family criticizes boring landscape .,0
tourist criticizes boring factory .,family recommends disgusting landscape .,0
family recommends abandoned route .,tourist enters impressive factory .,1
tourist enters interesting train .,tourist visits interesting train .,1
tourist enjoys interesting museum .,tourist enjoys impressive route .,1
family visits impressive factory .,family visits open landscape .,1
student criticizes disgusting route .,student criticizes abandoned museum .,1
tourist criticizes open mine .,family visits open landscape .,0
student criticizes boring route .,student enjoys open route .,0
tourist visits impressive train .,family visits boring museum .,1
student enjoys impressive factory .,student enters boring landscape .,0
tourist recommends interesting factory .,tourist enters interesting route .,1
student criticizes open route .,tourist criticizes boring landscape .,1
student criticizes abandoned route .,student enters boring landscape .,1
student enters boring landscape .,family recommends interesting train .,0
family enters interesting train .,tourist criticizes disgusting route .,0
student enters disgusting landscape .,tourist enjoys open mine .,0
tourist recommends interesting factory .,tourist enters interesting route .,1
student enters disgusting train .,family visits boring museum .,0
student criticizes abandoned mine .,tourist criticizes boring landscape .,1
family visits impressive factory .,family criticizes disgusting museum .,0
tourist criticizes disgusting route .,family enjoys abandoned train .,0
tourist enjoys impressive train .,tourist visits interesting factory .,1
student criticizes boring factory .,student enters boring landscape .,1
family enters interesting cave .,family recommends boring mine .,1
family visits open landscape .,tourist criticizes boring train .,0
tourist criticizes disgusting train .,family visits impressive factory .,0
tourist enters disgusting museum .,student criticizes disgusting route .,1
tourist visits interesting museum .,student enters disgusting museum .,0
student visits open cave .,family enters interesting cave .,1
tourist criticizes boring factory .,tourist enters boring train .,1
student enters boring cave .,family recommends interesting train .,0
student enters boring cave .,family criticizes abandoned train .,1
family enjoys interesting route .,student enters abandoned cave .,0
family enters impressive cave .,tourist enjoys impressive route .,1
tourist criticizes disgusting train .,student criticizes boring train .,1
family enjoys disgusting cave .,student criticizes disgusting route .,0
tourist criticizes boring museum .,family visits boring train .,0
tourist enjoys impressive landscape .,student enters disgusting train .,0
family criticizes boring landscape .,family criticizes interesting landscape .,0
student criticizes open factory .,student criticizes open mine .,1
family recommends open route .,family recommends impressive factory .,1
family enjoys open museum .,student criticizes boring mine .,0
tourist criticizes disgusting cave .,student visits impressive factory .,0
student criticizes open route .,tourist criticizes abandoned landscape .,1
student enters disgusting factory .,student criticizes boring factory .,1
family criticizes abandoned factory .,tourist criticizes boring train .,1
student criticizes open factory .,student criticizes boring route .,1
student enters boring mine .,tourist enters boring cave .,1
student enjoys impressive route .,tourist visits impressive cave .,1
student enters disgusting museum .,tourist enters boring train .,1
student enters abandoned train .,family enjoys impressive cave .,0
family criticizes abandoned train .,student enjoys impressive museum .,0
tourist criticizes disgusting route .,tourist enjoys impressive train .,0
tourist enters disgusting factory .,family criticizes interesting cave .,0
tourist enters interesting route .,family visits impressive route .,1
family visits boring train .,family enters interesting mine .,1
tourist enters disgusting train .,student visits open cave .,0
student criticizes open cave .,tourist enters boring route .,1
family recommends impressive factory .,family criticizes abandoned landscape .,0
family criticizes disgusting mine .,student criticizes open train .,1
family enters impressive cave .,tourist enters boring route .,0
tourist enters disgusting factory .,tourist criticizes boring route .,1
student visits impressive factory .,family visits open route .,1
tourist visits impressive cave .,student enters abandoned museum .,0
family criticizes boring route .,family criticizes boring train .,1
student enters boring cave .,tourist criticizes boring museum .,1
family enters impressive cave .,student visits impressive landscape .,1
tourist criticizes disgusting route .,tourist criticizes boring train .,1
student visits impressive museum .,student enters interesting route .,1
student enters disgusting mine .,student enjoys impressive route .,0
family enjoys open museum .,student recommends open museum .,1
student enters abandoned museum .,family recommends disgusting landscape .,0
student criticizes open train .,student criticizes abandoned landscape .,1
tourist criticizes open mine .,student criticizes disgusting train .,1
student criticizes open museum .,family enjoys impressive cave .,0
student criticizes open route .,family enjoys impressive cave .,0
family recommends impressive factory .,tourist criticizes disgusting mine .,0
student recommends impressive museum .,family criticizes boring train .,0
student criticizes open train .,tourist enjoys interesting museum .,0
family enters interesting train .,tourist visits impressive train .,1
tourist enters disgusting route .,family enjoys boring mine .,0
tourist criticizes abandoned train .,student criticizes abandoned museum .,1
tourist recommends open cave .,student criticizes boring mine .,0
student criticizes abandoned route .,family visits impressive train .,0
family visits interesting mine .,tourist criticizes boring route .,0
tourist recommends impressive mine .,student enjoys impressive factory .,1
student criticizes open train .,family enters interesting train .,0
family criticizes boring train .,student criticizes open cave .,1
tourist visits impressive museum .,tourist criticizes open train .,0
student enters boring train .,family criticizes abandoned factory .,1
student enjoys interesting route .,student criticizes open train .,0
student criticizes abandoned mine .,student enters boring route .,1
family visits open route .,family visits boring factory .,1
family enjoys disgusting museum .,family criticizes abandoned mine .,0
tourist enters boring train .,student enjoys interesting route .,0
tourist enters interesting train .,student criticizes open route .,0
tourist enters impressive museum .,student enters interesting museum .,1
family recommends disgusting mine .,tourist enters impressive landscape .,1
student enters abandoned museum .,family recommends boring mine .,0
family criticizes boring train .,student criticizes boring factory .,1
tourist enters disgusting cave .,student criticizes boring mine .,1
family criticizes abandoned museum .,student visits open cave .,0
family criticizes impressive factory .,tourist visits impressive cave .,1
student enjoys impressive train .,tourist enters interesting landscape .,1
family enjoys boring mine .,student enters disgusting factory .,0
student enters boring landscape .,student recommends open museum .,0
family enjoys disgusting landscape .,tourist enters abandoned mine .,0
student recommends open cave .,tourist enters impressive factory .,1
family enjoys boring mine .,tourist enjoys impressive train .,1
family visits boring landscape .,family enters interesting train .,1
family recommends disgusting mine .,student criticizes boring museum .,0
family criticizes abandoned museum .,family recommends abandoned route .,0
tourist enters abandoned mine .,family criticizes abandoned cave .,1
family visits disgusting cave .,student recommends open cave .,1
tourist criticizes boring mine .,student enters interesting museum .,0
family recommends disgusting factory .,family recommends disgusting mine .,1
family criticizes interesting factory .,student criticizes boring factory .,0
tourist enters abandoned mine .,tourist criticizes open train .,1
tourist enters abandoned route .,student enters disgusting museum .,1
family recommends impressive factory .,family visits boring landscape .,1
tourist criticizes boring route .,family criticizes interesting landscape .,0
student enters interesting museum .,tourist visits impressive train .,1
tourist visits impressive museum .,family visits impressive route .,1
student criticizes disgusting train .,family criticizes boring train .,1
family enjoys disgusting museum .,family criticizes interesting landscape .,1
tourist criticizes abandoned landscape .,tourist criticizes disgusting route .,1
student criticizes open train .,student enters boring landscape .,1
family enjoys impressive train .,family criticizes interesting cave .,1
student recommends open mine .,family visits boring train .,1
family criticizes boring factory .,tourist criticizes abandoned train .,1
student criticizes open route .,student enters boring cave .,1
student recommends open cave .,tourist enters abandoned factory .,0
family visits boring museum .,student recommends open museum .,1
student enjoys impressive cave .,tourist enters interesting route .,1
family criticizes abandoned mine .,student criticizes abandoned mine .,1
student criticizes open cave .,family criticizes disgusting cave .,1
tourist visits impressive mine .,family recommends abandoned route .,1
family enjoys abandoned factory .,tourist enters abandoned mine .,0
tourist visits impressive train .,student criticizes abandoned train .,0
family criticizes boring landscape .,student recommends open museum .,0
tourist enters abandoned mine .,student recommends interesting factory .,0
student criticizes boring train .,tourist enjoys impressive train .,0
family recommends open route .,student criticizes boring train .,0
family visits boring landscape .,tourist enjoys impressive route .,1
tourist criticizes disgusting mine .,student criticizes boring train .,1
tourist enters boring museum .,family recommends boring mine .,0
tourist criticizes boring landscape .,family enjoys disgusting landscape .,0
tourist enters interesting route .,tourist enters disgusting mine .,0
family criticizes boring landscape .,tourist criticizes boring landscape .,1
tourist enters interesting landscape .,tourist criticizes open factory .,0
student enters boring mine .,student enters abandoned route .,1
family criticizes abandoned train .,tourist criticizes abandoned train .,1
tourist enters disgusting mine .,family visits boring museum .,0
student enters disgusting train .,family criticizes boring train .,1
tourist criticizes disgusting route .,student enters abandoned factory .,1
tourist criticizes abandoned mine .,tourist enters boring cave .,1
student enjoys open route .,tourist visits interesting cave .,1
family enjoys impressive train .,student enters interesting museum .,1
family recommends boring mine .,student criticizes boring factory .,0
tourist enters boring train .,tourist enters boring factory .,1
family enters impressive museum .,tourist criticizes boring train .,0
student criticizes open route .,tourist criticizes boring train .,1
family enjoys impressive cave .,tourist criticizes boring factory .,0
family enjoys impressive train .,student enters abandoned factory .,0
student criticizes disgusting cave .,tourist criticizes abandoned cave .,1
tourist criticizes boring cave .,tourist visits impressive museum .,0
student enters interesting museum .,family enjoys disgusting cave .,1
student enjoys interesting route .,student criticizes abandoned route .,0
family criticizes disgusting mine .,tourist criticizes open route .,1
student enters abandoned factory .,student enters boring mine .,1
family recommends impressive museum .,tourist enters disgusting train .,0
family enjoys abandoned factory .,family visits open route .,1
family visits boring train .,family criticizes disgusting landscape .,0
family criticizes boring route .,tourist criticizes boring landscape .,1
family recommends open route .,tourist enters boring museum .,0
family recommends abandoned route .,student enters abandoned mine .,0
tourist enters boring route .,student visits impressive landscape .,0
family recommends abandoned factory .,family criticizes disgusting route .,0
student recommends interesting factory .,tourist recommends impressive mine .,1
tourist enters abandoned factory .,family enters interesting mine .,0
student criticizes boring factory .,family recommends impressive museum .,0
tourist enters disgusting train .,tourist visits interesting factory .,0
tourist enjoys impressive landscape .,family criticizes disgusting landscape .,0
student criticizes open mine .,tourist enters disgusting train .,1
family criticizes boring route .,student criticizes abandoned cave .,1
student recommends impressive factory .,tourist enters disgusting mine .,0
family recommends interesting train .,family enjoys interesting factory .,1
student criticizes abandoned train .,family visits impressive train .,0
family criticizes abandoned factory .,family recommends abandoned factory .,0
family recommends boring mine .,student criticizes open train .,0
tourist visits impressive mine .,family criticizes interesting train .,1
student enters boring route .,student criticizes open landscape .,1
tourist enters interesting route .,tourist enters interesting landscape .,1
tourist enters boring cave .,student criticizes abandoned museum .,1
tourist criticizes boring mine .,student enters disgusting route .,1
family visits boring museum .,family recommends open mine .,1
student enters abandoned museum .,family enjoys interesting route .,0
student enters boring landscape .,tourist enjoys interesting museum .,0
family enjoys disgusting cave .,student criticizes disgusting train .,0
tourist recommends interesting train .,family criticizes abandoned mine .,0
family criticizes disgusting mine .,family visits boring museum .,0
tourist criticizes disgusting cave .,student criticizes abandoned route .,1
student criticizes open cave .,student enters disgusting factory .,1
family visits interesting mine .,family criticizes disgusting landscape .,0
tourist enters interesting landscape .,family criticizes interesting factory .,1
student criticizes disgusting landscape .,family criticizes boring train .,1
student criticizes open mine .,family criticizes interesting train .,0
family criticizes abandoned landscape .,family enjoys impressive cave .,0
family enjoys impressive cave .,family visits impressive factory .,1
tourist enters interesting train .,student visits impressive factory .,1
family enjoys disgusting landscape .,family enjoys interesting factory .,1
tourist criticizes open landscape .,tourist enjoys interesting museum .,0
family criticizes impressive landscape .,family visits boring train .,1
family enters interesting train .,family recommends abandoned factory .,1
student enters disgusting cave .,tourist recommends interesting museum .,0
tourist recommends interesting museum .,tourist enjoys interesting museum .,1
family enjoys impressive train .,family criticizes disgusting mine .,0
family visits impressive train .,family criticizes abandoned mine .,0
student enters boring route .,tourist enters disgusting museum .,1
student criticizes abandoned landscape .,student criticizes disgusting mine .,1
family enjoys disgusting museum .,tourist criticizes abandoned mine .,0
family criticizes interesting landscape .,tourist enjoys impressive route .,1
student criticizes boring train .,student criticizes open cave .,1
family enjoys disgusting landscape .,family recommends impressive museum .,1
tourist enters disgusting mine .,student enjoys impressive factory .,0
student enjoys impressive factory .,tourist criticizes disgusting factory .,0
tourist enters boring factory .,tourist recommends interesting train .,0
family enjoys interesting route .,family recommends disgusting landscape .,1
student enters boring route .,tourist enjoys impressive landscape .,0
student enters disgusting mine .,student enters boring cave .,1
tourist criticizes disgusting cave .,family criticizes interesting factory .,0
student enjoys impressive cave .,student visits open cave .,1
student enjoys impressive factory .,student recommends open museum .,1
student criticizes boring factory .,tourist criticizes open train .,1
student criticizes boring factory .,student enters boring route .,1
family criticizes abandoned mine .,tourist recommends impressive route .,0
family visits impressive train .,family enjoys interesting factory .,1
tourist enters impressive landscape .,family visits boring train .,1
family visits impressive train .,family recommends impressive factory .,1
family recommends disgusting factory .,student criticizes boring factory .,0
student criticizes open factory .,tourist enters impressive factory .,0
tourist visits impressive museum .,tourist criticizes abandoned train .,0
tourist criticizes boring landscape .,student enjoys open route .,0
student criticizes boring landscape .,tourist enjoys interesting train .,0
tourist criticizes disgusting route .,family enjoys open museum .,0
family enters interesting mine .,family criticizes interesting landscape .,1
family visits boring landscape .,tourist criticizes open mine .,0
tourist criticizes disgusting mine .,family visits impressive factory .,0
tourist enters impressive landscape .,tourist recommends impressive mine .,1
family enters impressive museum .,family criticizes boring factory .,0
student criticizes boring landscape .,tourist criticizes boring landscape .,1
tourist enters boring museum .,family criticizes disgusting museum .,1
student enters boring train .,tourist visits interesting factory .,0
student criticizes boring train .,student enjoys impressive museum .,0
student criticizes boring route .,student recommends open mine .,0
tourist recommends impressive mine .,tourist enters boring factory .,0
tourist enjoys open mine .,student criticizes open factory .,0
family recommends open route .,family visits disgusting cave .,1
tourist criticizes disgusting factory .,student enters abandoned mine .,1
family enjoys abandoned train .,tourist criticizes abandoned factory .,0
student criticizes disgusting train .,tourist enters abandoned route .,1
student criticizes boring route .,family criticizes impressive factory .,0
family criticizes abandoned train .,tourist enters boring train .,1
family criticizes abandoned cave .,family enjoys disgusting museum .,0
family recommends impressive factory .,student recommends open museum .,1
tourist enjoys open mine .,student criticizes open cave .,0
tourist enjoys open mine .,family enjoys interesting museum .,1
student enters interesting route .,family visits impressive factory .,1
family criticizes abandoned mine .,family recommends abandoned route .,0
family enjoys interesting factory .,family enters impressive cave .,1
student criticizes boring mine .,tourist enters disgusting train .,1
family criticizes interesting train .,family criticizes boring factory .,0
family recommends abandoned train .,family enjoys disgusting cave .,1
tourist criticizes open landscape .,family enjoys open cave .,0
family visits impressive train .,family recommends open route .,1
tourist recommends interesting museum .,student enters boring route .,0
tourist visits impressive cave .,family enters impressive museum .,1
